 ,Linea,Cod Familia,Familia,Cod Producto,Producto,Cod Color,Familia Color,COD SKU PT,UM,Doc x Paq,Doc X bulto,PESO g.,Precio Estimado, Precio Sin IGV , Indicador x kg. ,Status,Codigo Barra,Marca,Nombre GS1,OBS
1,HOGAR,15,SALSEROS,250,SALSERO IDEAL CARITAS 600ML.,5,Varios,11525005,DOC,10,40,48,26,22.03,9.56,ALTA,,,POR CREAR CODIGO,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,17,TAPERS,251,TAPER ALEMAN 2.8KG. CARAMELO LILA ,1,Caramelo,11725101,DOC,5,10,135,45,38.14,5.89,ALTA,,,,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,17,TAPERS,252,TAPER ALEMAN 1.1KG. CARAMELO LILA,1,Caramelo,11725201,DOC,10,20,71,23,19.49,5.72,ALTA,,,,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,19,CESTAS,253,FRUTERO CORONITA CARAMELO LILA,1,Caramelo,11925301,DOC,20,40,72,36,30.51,8.83,ALTA,,,,
1,HOGAR,12,FLOREROS,254,FLORERO DIAMANTE CARAMELO LILA,1,Caramelo,11225401,DOC,4,16,84,32,27.12,6.73,ALTA,,,,
1,HOGAR,12,FLOREROS,255,FLORERO ITALIANO CARAMELO LILA,1,Caramelo,11225501,DOC,4,16,62,34,28.81,9.68,ALTA,7.76E+12,MUNDOPLAST,FLORERO DE PLASTICO ITALIANO,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,12,FLOREROS,256,FLORERO ITALIANO GRANDE CARAMELO LILA,1,Caramelo,11225601,DOC,4,16,84,38,32.2,7.99,ALTA,7.76E+12,MUNDOPLAST,FLORERO DE PLASTICO ITALIANO GRANDE,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,15,SALSEROS,257,SALSERO IDEAL  X 3 T/D 300ML.,4,Transparente,11525704,DOC,10,40,26,12,10.17,8.15,ALTA,7.75933E+12,MUNDO ENVASES,SALSERO IDEAL TRANSPARENTE 300 ML TAPA DOBLE # 1,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,15,SALSEROS,258,SALSERO IDEAL X 3 T/D 400ML. ,4,Transparente,11525804,DOC,10,40,28,14,11.86,8.83,ALTA,7.75933E+12,MUNDO ENVASES,SALSERO IDEAL TRANSPARENTE 400 ML TAPA DOBLE # 1,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,12,FLOREROS,259,FLORERO AMERICANO PASTEL,2,Pastel,11225902,DOC,6,24,62,26,22.03,7.4,ALTA,7.75933E+12,MUNDOPLAST,FLORERO DE PLASTICO AMERICANO,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,12,FLOREROS,260,FLORERO CISNE PASTEL,2,Pastel,11226002,DOC,6,24,62,26,22.03,7.4,ALTA,7.75933E+12,MUNDOPLAST,FLORERO DE PLASTICO AMERICANO,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,16,SPORT BOTTLE,261,SPORT BOTTLE ULTRA 900ML,5,Varios,11626105,DOC,10,40,65,29,24.58,7.88,ALTA,,,,
1,HOGAR,16,SPORT BOTTLE,262,SPORT BOTTLE ULTRA 650ML,5,Varios,11626205,DOC,10,40,65,29,24.58,7.88,ALTA,,,,
1,HOGAR,10,EMBUDOS,263,EMBUDO #3,3,Solido,11026303,DOC,20,40,35,11.5,9.75,5.8,ALTA,,MUNDOPLAST,EMBUDO # 2,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,17,TAPERS,264,TAPER REDONDO DE 1.5LT CON VALVULA,3,Solido,11726403,DOC,10,20,71,23,19.49,5.72,ALTA,7.75933E+12,MUNDO HOGAR,TAPER ALEMAN DE 1100 ML COLOR CARAMELO,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,17,TAPERS,265,TAPER REDONDO DE 2.5LT CON VALVULA,3,Solido,11726503,DOC,10,20,71,23,19.49,5.72,ALTA,7.75933E+12,MUNDO HOGAR,TAPER ALEMAN DE 1100 ML COLOR CARAMELO,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,14,PACKS,266,PACK: TAPER SET X 2 REDONDO,3,Solido,11426603,DOC,1,12,241,79.5,67.37,5.82,ALTA,,,POR CREAR CODIGO,ACTUALIZAR PRECIO EN SISTEMA
